start_dt,end,duration,duration_hours,facility,facility_id,waterbody,quantity,treated,reason,county,city,status,incident_id,lat,lon,sheet
2021-01-01 00:00:00,2021-01-01,2 hours Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,723482946044729,-73.92573547363287,40.72275784993446,January 2021
2021-01-02 00:00:00,2021-01-02,2 hours Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,723482946045090,-73.92573547363287,40.72275784993446,January 2021
2021-01-03 00:00:00,2021-01-03,2 hours Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,724719896626630,-73.92573547363287,40.72275784993446,January 2021
2021-01-13 00:00:00,2021-01-13,15 Minutes - Ended,0.25,NYCDEP Tallman Island WWTP,NY0026239,Flushing Bay,28.5 Gallons per Minute Estimated,Untreated,Blockage - A 10% partial blockage.,New York,Queens,New,734890379184319,-73.8207,40.7999,January 2021
2021-01-16 00:00:00,2021-01-16,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,739288425694316,-73.8402,40.7966,January 2021
2021-01-17 00:00:00,2021-01-17,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,738738669881258,-73.839,40.7949,January 2021
2021-01-19 00:00:00,2021-01-18,Ongoing Hours - Ongoing,,NYCDEP Tallman Island WWTP,NY0026239,Flushing Bay,28.5 Gallons per Minute Estimated,Untreated,Blockage - A 10% partial blockage,New York,Queens,New,747947079761964,-73.8207,40.7999,January 2021
2021-01-22 00:00:00,2021-01-23,24 Hours - Ongoing,24.0,NYCDEP Tallman Island WWTP,NY0026239,Flushing Bay,2.22 Gallons per Minute Estimated,Untreated,Unknown - Two private residences were found to be illegally connected to the storm sewer.  The illegal connections were discovered during a pole camera inspection of the storm sewer.,New York,Flushing,New,749596347205515,-73.8296,40.7585,January 2021
2021-02-02 00:00:00,2021-02-04,46 Hours - Ongoing,46.0,NYCDEP City Wide CSO,NYCDEPCSO,"40.72275784993446,-73.92573547363287",0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain conditions,New York,Please see DEP’s website below,New,772548652435804,-73.92573547363287,40.72275784993446,February 2021
2021-02-04 00:00:00,2021-02-04,5 Minutes - Ended,0.08333333333333333,NYCDEP Wards Island WWTP,NY0026131,East River,3100 Gallons Estimated,Partially Treated without Disinfection,Unknown - The Wards Island Wastewater Resource Facility experienced a sludge spill from the distribution box to the South Thickener Tanks.,New York,New York,Update,800998515802823,-73.9245,40.7899,February 2021
